project,path,presence_condition,one_enabled,one_disabled,most_enabled_disabled,pair_wise
libpng,pngrutil.c,PNG_READ_sPLT_SUPPORTED && !PNG_POINTER_INDEXING_SUPPORTED,1,1,0,1
libpng,pngtest.c,PNG_WRITE_SUPPORTED && PNG_WRITE_FLUSH_SUPPORTED,0,1,1,1
libssh,src/options.c,!_MSC_VER,1,1,1,1
libssh,libssh/keys.c,!_WIN32,1,1,1,1
libssh,libssh/auth.c,!_WIN32,1,1,1,1
libssh,src/pki_crypto.c,HAVE_OPENSSL_ECC,1,1,1,1
libssh,src/pki.c,WITH_SERVER,1,1,1,1
libssh,src/messages.c,WITH_SERVER,1,1,1,1
libssh,src/messages.c,WITH_SERVER,1,1,1,1
libssh,libssh/options.c,WITH_SERVER,1,1,1,1
libssh,src/channels.c,WITH_SSH1,1,1,1,1
libssh,libssh/kex.c,WITH_SSH1,1,1,1,1
libssh,src/dh.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/keys.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/keys.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/keyfiles.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/keyfiles.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/known_hosts.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libssh,src/client.c,!HAVE_LIBGCRYPT && !HAVE_LIBCRYPTO,1,0,1,1
libxml2,xmlregexp.c,DEBUG_REGEXP_GRAPH,1,1,1,1
libxml2,xpath.c,WIN32,1,1,1,1
lighttpd,src/condition.c,HAVE_PCRE_H,1,1,1,1
linux,include/linux/kernel.h,!CONFIG_TRACING,1,1,1,1
linux,include/linux/if_vlan.h,!CONFIG_VLAN_8021Q,1,1,1,1
linux,drivers/base/core.c,!HOTPLUG,1,1,1,1
linux,fs/reiserfs/namei.c,!SECURITY,1,1,1,1
linux,arch/arm/mm/fault.c,CONFIG_ARM_LPAE,1,1,1,1
linux,kernel/sched/proc.c,CONFIG_NO_HZ_COMMON,1,1,1,1
linux,include/net/inet_hashtables.h,CONFIG_NUMA,1,1,1,1
linux,fs/proc/task_mmu.c,CONFIG_PROC_PAGE_MONITOR,1,1,1,1
linux,fs/quota/dquot.c,CONFIG_QUOTA_DEBUG,1,1,1,1
linux,kernel/sched/rt.c,CONFIG_SCHED_DEBUG,1,1,1,1
linux,net/ipv4/udp.c,HIGHMEM,1,1,1,1
linux,fs/jffs2/super.c,JFFS2_FS_WBUF_VERIFY,1,1,1,1
linux,kernel/time/tick-sched.c,!A64BIT && !KTIME_SCALAR,1,0,1,1
linux,arch/arm/mach-omap2/board-omap3pandora.c,ARCH_OPAM3 && !PM,1,1,0,1
linux,block/cfq-iosched.c,CONFIG_CFQ_GROUP_IOSCHED && !CONFIG_DEBUG_BLK_CGROUP,1,1,0,1
linux,kernel/module.c,CONFIG_MODULE_UNLOAD && CONFIG_SMP,0,1,1,1
linux,arch/blackfin/mach-common/pm.c,CONFIG_PM_BFIN_SLEEP_DEEPER && CONFIG_BF60x,0,1,1,1
linux,net/ipv4/tcp_minisocks.c,CONFIG_TCP_MD5SIG && PREEMPT,0,1,1,1
linux,drivers/tty/pty.c,CONFIG_UNIX98_PTYS && DEVPTS_MULTIPLE_INSTANCES,0,1,1,1
linux,init/main.c,CONFIG_X86 && ACPI_WMI,0,1,1,1
linux,arch/x86/kernel/smpboot.c,CONFIG_X86_32 && CONFIG_X86_BIGSMP,0,1,1,1
linux,drivers/net/arm/ep93xx_eth.c,EP93XX_ETH && !ZONE_DMA,1,1,0,1
linux,drivers/extcon/extcon-class.c,EXTCON && SYSFS && CONFIG_ANDROID,0,0,1,1
